Monday of TT week 1,Label,Date,Until,Affects
03/09/2018,,,,
,Christmas Vac,11/12/2017,13/01/2019,Student
,Christmas Closure,24/12/2018,01/01/2019,Both
,Easter Vac,01/04/2019,21/04/2019,Student
,Easter Closure,17/04/2019,22/04/2019,Both
,Labour Day,06/05/2019,06/05/2019,Both
,May Bank,27/05/2019,27/05/2019,Both
,August Bank,26/08/2019,26/08/2019,Both
