Monday of TT week 1,Label,Date,Until,Affects
28/08/2017,,,,
,Christmas Vac,11/12/2017,07/01/2018,Student
,Christmas Closure,22/12/2017,01/01/2018,Both
,Easter Vac,26/03/2018,13/04/2018,Student
,Easter Closure,29/03/2018,02/04/2018,Both
,Labour Day,07/05/2018,07/05/2018,Both
,May Bank,28/05/2018,28/05/2018,Both
,August Bank,27/08/2018,27/08/2018,Both
