Monday of TT week 1,Label,Date,Until,Affects
29/08/2016,,,,
,Christmas Vac,12/12/2016,08/01/2017,Student
,Christmas Closure,23/12/2016,02/01/2017,Both
,Easter Vac,27/03/2017,17/04/2017,Student
,Easter Closure,12/04/2017,17/04/2017,Both
,Labour Day,01/05/2017,01/05/2017,Both
,May Bank,29/05/2017,30/05/2017,Both
,August Bank,28/08/2017,28/08/2017,Both
