Monday of TT week 1,Label,Date,Until,Affects
02/09/2019,,,,
,Christmas Vac,16/12/2019,12/01/2020,Student
,Christmas Closure,23/12/2019,01/01/2020,Both
,Easter Vac,30/03/2020,17/04/2020,Student
,Easter Closure,09/04/2020,13/04/2020,Both
,Labour Day,04/05/2020,04/05/2020,Both
,May Bank,25/05/2020,25/05/2020,Both
,August Bank,31/08/2020,31/08/2020,Both
