Monday of TT week 1,Label,Date,Until,Affects
31/08/2020,,,,
,Christmas Vac,14/12/2020,10/01/2021,Student
,Christmas Closure,24/12/2021,01/01/2021,Both
,Easter Vac,29/03/2021,17/04/2020,Student
,Easter Closure,09/04/2020,16/04/2021,Both
,Labour Day,03/05/2021,03/05/2021,Both
,May Bank,31/05/2021,31/05/2021,Both
,August Bank,30/08/2021,30/08/2021,Both
